Workbook Name,Workbook ID,Start Time,End Time,Status,Job ID,Error Message
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-25 23:39:12,2026-04-25 23:40:25,Success,76a920d0-01c9-47d2-bc7e-86a5dbdb9992,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-25 23:40:25,2026-04-25 23:42:06,Success,63aa456e-395f-4a02-8a69-d1d45998e9a8,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-25 23:42:06,2026-04-25 23:42:58,Success,18e1f846-99f2-4103-858a-9954e916798d,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-26 23:35:58,2026-04-26 23:36:36,Success,6d02c77f-9204-4102-9108-f1e9750b822c,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-26 23:36:36,2026-04-26 23:41:20,Success,32eb169d-cf61-4684-8036-e9110e7f2331,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-26 23:41:20,2026-04-26 23:41:59,Success,fc037828-06fc-40f7-bfde-2459cc2b588d,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-26 23:41:59,2026-04-26 23:43:41,Success,b137de94-30bb-4349-8457-08412624319e,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-26 23:43:41,2026-04-26 23:45:53,Success,ff1a8eaa-1a10-4585-94dd-6ce1d883b369,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-26 23:45:53,2026-04-26 23:47:07,Success,7b6d9e7a-68c3-43df-8ae8-7af61fcbf562,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-27 23:50:42,2026-04-27 23:51:34,Success,76d0ff6b-c1ea-49b9-b390-94b8e1ee9a67,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-27 23:51:34,2026-04-27 23:55:46,Success,fb29d534-3dc0-4a86-8dbc-bda754da94b9,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-27 23:55:46,2026-04-27 23:56:24,Success,d96d5a7d-d5d1-483c-a359-833c290caf56,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-27 23:56:24,2026-04-27 23:57:36,Success,cd56137d-e9b1-4097-8b64-46e6735f219a,
